taxa	determinant	effectsize	se	W	pvalue	formula	method	n	freq	qvalue.withinformula	qvalue
t10	Reproductive.haschildren	-0.018622743348525338	0.0644860409634658	-0.2887872021648212	0.7727442262437341	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9333941720451447
t12	Reproductive.haschildren	-0.09852134342507676	0.06365259487625631	-1.547797754617969	0.12167099728452188	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.39108534841453463	0.24334199456904376
t144	Reproductive.haschildren	0.039283932895244	0.08949043209159256	0.438973552558527	0.6606806999419539	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8617574347068964
t15	Reproductive.haschildren	0.4958308736647943	0.09448662861344692	5.247630071481138	1.5406826895398708e-7	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	9.904388718470598e-7	8.666340128661773e-7
t153	Reproductive.haschildren	0.08711494777265544	0.09784220823378466	0.8903616276168108	0.3732717396371717	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.8840646465090908	0.5999010101311688
t155	Reproductive.haschildren	-0.14987952589880504	0.09969476488739543	-1.5033841151849143	0.13274002041926639	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.3953270932515152	0.2541830178241271
t158	Reproductive.haschildren	0.047312828425656775	0.0670834168078795	0.7052835212785329	0.4806338133658891	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.73317022377847485
t16	Reproductive.haschildren	0.8892382896577941	0.12341588721469954	7.205217332439844	5.795134340128615e-13	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	1.3039052265289383e-11	1.7385403020385844e-11
t17	Reproductive.haschildren	0.3302459884564461	0.1751789989920075	1.8851916631371632	0.05940396598379294	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.22276487243922352	0.1303989497205211
t173	Reproductive.haschildren	-1.603829444898513	0.18623740887693055	-8.611746987729818	7.195551423300461e-18	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	3.2379981404852073e-16	3.2379981404852073e-16
t174	Reproductive.haschildren	0.7715899620500654	0.14567347258664706	5.296708785404433	1.1790850821908093e-7	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	8.84313811643107e-7	7.074510493144855e-7
t175	Reproductive.haschildren	0.04835467260854994	0.20051514461015313	0.24115222170655679	0.8094371397404309	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9460953581381659
t176	Reproductive.haschildren	-0.9879771218962757	0.16926969368451827	-5.836704139948698	5.324351752229289e-9	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	4.79191657700636e-8	4.79191657700636e-8
t182	Reproductive.haschildren	-0.7585396938682201	0.12775787331781477	-5.937322484863624	2.897144577110158e-9	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	3.2592876492489274e-8	2.897144577110158e-8
t190	Reproductive.haschildren	0.7525643745711289	0.11898334334517117	6.324955690545159	2.533052580005802e-10	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	3.799578870008703e-9	3.2567818885788883e-9
t206	Reproductive.haschildren	-0.015630186299214373	0.10670548627448863	-0.14647968764237074	0.8835427238703254	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t21	Reproductive.haschildren	0.15447902378492542	0.09560106174845232	1.615871424016128	0.10612211510151122	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.3673457830436927	0.2170679627076366
t24	Reproductive.haschildren	-0.024548028950971287	0.06754988083906505	-0.3634059549187956	0.716301654036736	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9079880121592429
t258	Reproductive.haschildren	0.37846919923844785	0.07689730918618386	4.921748280191414	8.577449472683937e-7	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	4.824815328384714e-6	4.063002381797654e-6
t267	Reproductive.haschildren	0.03525563420810575	0.05987250843147865	0.5888451165939408	0.5559651775023913	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8029692488075191
t297	Reproductive.haschildren	-0.018947912990555406	0.06144120223062803	-0.30839098687281213	0.7577848394275669	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9333941720451447
t305	Reproductive.haschildren	-0.05200141720078665	0.0861186696180654	-0.6038344232605068	0.5459537307629009	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8029692488075191
t333	Reproductive.haschildren	-0.0298844752811361	0.0515465503627118	-0.5797570365204147	0.5620784741652634	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8029692488075191
t371	Reproductive.haschildren	0.006025732664034987	0.09271849786959643	0.06498954148836465	0.9481823273345051	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9608183047175384
t372	Reproductive.haschildren	-0.14483003951266948	0.10025196127306464	-1.4446604103652776	0.1485532952585021	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.3953270932515152	0.2743085953173779
t374	Reproductive.haschildren	0.010102439158109952	0.05585680597694932	0.180863172918963	0.8564749758307114	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t375	Reproductive.haschildren	0.13768480900512828	0.09549202771854123	1.4418461131744789	0.14934579078390575	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.3953270932515152	0.2743085953173779
t376	Reproductive.haschildren	0.30427462121038057	0.0948251101720834	3.2087979719527846	0.001332911144320004	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.005998100149440019	0.003528294205552952
t381	Reproductive.haschildren	0.029088100619752498	0.07676042655397972	0.37894657345731486	0.7047275382352168	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9060782634452789
t382	Reproductive.haschildren	-0.017117789012884244	0.08555870716129359	-0.20007068340355033	0.841425301055492	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t383	Reproductive.haschildren	-0.06698490674296798	0.08219706842603669	-0.8149306055025909	0.41511203314777173	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.9340020745824864	0.6554400523385869
t388	Reproductive.haschildren	0.030928246092437106	0.0553981578127602	0.558290154646861	0.5766462667815246	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.810908812661519
t390	Reproductive.haschildren	-0.04962298443246007	0.07701278462907775	-0.6443473596164954	0.519350211362922	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.779025317044383
t391	Reproductive.haschildren	0.0077604603603736826	0.08622262618819969	0.09000491754258082	0.9282833070577897	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9608183047175384
t392	Reproductive.haschildren	0.039609736104220666	0.08257648142501818	0.4796733333835185	0.6314596924563822	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.8527081264691749
t395	Reproductive.haschildren	-0.012883310081456281	0.1038245227323972	-0.12408735183558131	0.9012461125307983	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9542605897384924
t446	Reproductive.haschildren	0.008782999993592723	0.05436377368095813	0.1615597924665249	0.8716525222182481	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t448	Reproductive.haschildren	-0.010428192720305516	0.07350278757634736	-0.14187479229238414	0.8871789057175871	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9505488275545575
t460	Reproductive.haschildren	-0.020672906482488186	0.07326919966678593	-0.28215002451923243	0.7778284767042873	Reproductive.haschildren + Technical.dna_conc + General.Age	ancombc	3043	FALSE:1913, TRUE:1130	0.971736694543874	0.9333941720451447
