taxa	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	determinant	formula	method	n	freq
t1	0.05608015308383738	0.10365855791322533	1.6964361569839956	0.06110371880867855	0.95127660750620735	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t10	2.9938326669424478	-0.21898011981415996	0.3542076869311235	-0.6182252048548601	0.536426897626186	0.7208236436851875	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t100	0.00619978787826444	-0.22927329238399566	3.6784397958336053	-0.062328950617509815	0.950300874032566	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t101	0.03217545871742226	0.5059887318373891	3.678421326258718	0.13755594777176455	0.8905913730496074	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t102	0.0010367030499723192	0.06006550237582443	3.67845114650142	0.0163290200096725	0.986971906005568	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t103	0.6364338815014521	-0.19182252385625204	0.5114217047884905	-0.3750770099512777	0.7076031943962656	0.8693410674011264	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t104	0.01763981938515058	0.06995447434973284	3.678437778871629	0.019017441249527284	0.9848271918206076	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t105	3.7992966570925897e-4	0.05826212947270975	3.678451277375929	0.01583876612177715	0.987363021417266	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t106	0.004240125298980634	0.051953443428464356	3.6784503097581145	0.014123731205677394	0.9887312675786892	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t107	0	NA	NA	NA	NA	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t108	2.633304398969282	4.617563075857043	0.8230388093314577	5.610383159948219	2.0187913494073346e-8	3.4723211209806154e-7	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t109	0.02844187897822914	0.2366207887835866	1.9883305381336547	0.11900475511767303	0.9052715885167821	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t11	0.4106728446370543	0.5040578293252049	0.5045858884454079	0.9989534802056597	0.31781722717581395	0.6209889974983767	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t110	0.02088630455263933	0.12253430744297213	2.6120567488653337	0.04691104337461294	0.9625841264453037	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t111	0.010164583270794105	0.14853949884636491	3.1349432284231575	0.04738187840201453	0.9622088717375357	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t112	3.931906505365245e-4	0.07160767793859518	3.6784510915649404	0.01946680169346245	0.9844687204329865	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t113	0	NA	NA	NA	NA	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t114	0.00295629486465955	0.03717875515205072	3.6784509474504206	0.010107177092525801	0.9919357767449668	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t115	0.0024828634766151632	0.059902475165092894	3.678450594248725	0.01628470292865988	0.987007261219254	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t116	0.18573208838919036	-1.1118714042647997	3.4761093696842114	-0.31986088066205126	0.7490737938522414	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t117	0	NA	NA	NA	NA	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t118	0.07796467885802617	-0.4016233964368258	1.62509290706578	-0.2471387295400761	0.8048008613231321	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t119	0	NA	NA	NA	NA	NA	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
t12	3.3270517542221882	-0.5731559612696887	0.28969460060226154	-1.978483410039829	0.04787419831477222	0.20585905275352054	Reproductive.haschildren	~Reproductive.haschildren + Technical.dna_conc + General.Age	DESeq2	3043	FALSE:1913, TRUE:1130
