taxa	determinant	effectsize	stdev	pvalue	formula	method	n	freq	qvalue.withinformula	qvalue
t10	Reproductive.haschildren	0.19661071913591566	0.1663548604268803	0.06119901037853281	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	0.14210370998302227	0.11474814445974901
t12	Reproductive.haschildren	0.04382160751828173	0.1682507155841716	0.6759647818574688	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	0.7467322505968769	0.7559511672709124
t144	Reproductive.haschildren	0.25086320064977163	0.17052384500519438	0.0799077657339841	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	0.16344770263769476	0.13830190223189556
t15	Reproductive.haschildren	1.0340195861145032	0.16904565404078817	7.998179638825528e-15	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	1.7995904187357438e-13	1.1997269458238294e-13
t153	Reproductive.haschildren	0.21885251846840978	0.22967657067779393	0.20209071113751315	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	0.34977238466108046	0.30827396614196917
t155	Reproductive.haschildren	-0.015252881538248055	0.1790021041243153	0.9170309630538793	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	0.9170309630538793	0.9170309630538793
t158	Reproductive.haschildren	0.26924976028363123	0.17249797675438122	0.013629459012311707	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	0.04717889658107899	0.03607797973847217
t16	Reproductive.haschildren	1.5035096719818553	0.1730659595117199	8.527809193716131e-23	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	3.8375141371722586e-21	3.8375141371722586e-21
t17	Reproductive.haschildren	1.0889405304055082	0.2516976344418067	2.2707923685404058e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	1.0218565658431826e-4	9.731967293744595e-5
t173	Reproductive.haschildren	-1.6642632667246273	0.4393691040661967	2.9086897008566408e-9	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	1.6361379567318605e-8	1.4543448504283203e-8
t174	Reproductive.haschildren	1.386244365178761	0.19579686094683457	6.674676432967206e-10	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	6.007208789670485e-9	4.004805859780323e-9
t175	Reproductive.haschildren	0.15499117782529323	0.36899500783522016	0.6082812683672023	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	0.7203330809611606	0.7109781058837429
t176	Reproductive.haschildren	-1.6147623059783636	0.23965365069836025	1.5685774958550308e-9	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	1.008371247335377e-8	8.304233801585457e-9
t182	Reproductive.haschildren	-1.4684449344935364	0.21373855064084407	2.7615912046793947e-12	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130	4.142386807019092e-11	2.4854320842114553e-11
