taxa	determinant	coefficient	stdev	pvalue	formula	method	n	freq
t1	(Intercept)	5.346017109989903	0.0843068008960095	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t1	General.Age	-0.33271949239478316	0.07554457524530742	3.676577733162442e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t1	Reproductive.haschildrenTRUE	0.20328094394681157	0.1564103466891111	0.024842257195547772	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t1	Technical.dna_conc	-0.16847928095646966	0.06197578462909639	2.772408459356217e-6	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t10	(Intercept)	6.030642127557231	0.08924342276156302	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t10	General.Age	0.08141100367965881	0.08455737615376797	0.12721548451676518	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t10	Reproductive.haschildrenTRUE	0.19661071913591566	0.1663548604268803	0.06119901037853281	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t10	Technical.dna_conc	-0.22514887651362853	0.06465381186705407	3.710601805012835e-8	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t100	(Intercept)	5.326919654353424	0.08421515717694449	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t100	General.Age	-0.32716425868976823	0.07541382893869138	1.0742879538460445e-13	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t100	Reproductive.haschildrenTRUE	0.18062976301820707	0.1560835479059654	0.04652561340158046	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t100	Technical.dna_conc	-0.15430444573624552	0.06192891240274104	1.8615176553007417e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t101	(Intercept)	5.320487818536766	0.08418390772214088	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t101	General.Age	-0.32950109547825024	0.07541259042960499	8.044787619136848e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t101	Reproductive.haschildrenTRUE	0.21016870232684778	0.15615897602479165	0.020877182620280176	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t101	Technical.dna_conc	-0.15178333197554003	0.06194003803656634	2.6440589727832666e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t102	(Intercept)	5.318534406927294	0.0841710666673479	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t102	General.Age	-0.33700727668095537	0.07533758276765909	1.8008079650037535e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t102	Reproductive.haschildrenTRUE	0.19650629886051896	0.15604994081723542	0.030243207815753143	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t102	Technical.dna_conc	-0.15404754461557027	0.06192175420349353	1.9008703721367364e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t103	(Intercept)	5.654827353945471	0.08596462649440073	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t103	General.Age	-0.21728162622808495	0.07747231489501712	1.4788451917441088e-6	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t103	Reproductive.haschildrenTRUE	0.0411368423663316	0.15895825688931337	0.656299869959583	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t103	Technical.dna_conc	-0.015086478115238928	0.06383366664033378	0.6844318582240094	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t104	(Intercept)	5.322846827923067	0.08419121999944591	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t104	General.Age	-0.32946825760664417	0.07539668993875175	7.724666108340123e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t104	Reproductive.haschildrenTRUE	0.19376297136364248	0.1560929928134912	0.0329903380925177	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t104	Technical.dna_conc	-0.15495179013674018	0.0619264679169087	1.7615700426612655e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t105	(Intercept)	5.319857770543537	0.08417291772315512	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t105	General.Age	-0.3364924309542388	0.07534448843052251	2.0599207224950452e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t105	Reproductive.haschildrenTRUE	0.19487440887557914	0.15605109152379243	0.031754927221379944	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t105	Technical.dna_conc	-0.15344638510079275	0.061922856647495764	2.0744608138196956e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t106	(Intercept)	5.322315925182291	0.08418564797448008	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t106	General.Age	-0.3323131883217456	0.07537198977302724	4.6041389980154065e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t106	Reproductive.haschildrenTRUE	0.19278500156195674	0.1560734543850132	0.033829921906952824	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t106	Technical.dna_conc	-0.15378038634754704	0.06192772775150139	2.0309136415149354e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t107	(Intercept)	5.31768259122238	0.08416696913512488	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t107	General.Age	-0.3361742775780698	0.07534287401833431	2.142941731821906e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t107	Reproductive.haschildrenTRUE	0.19672330773595134	0.1560457916509912	0.030123463141423314	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t107	Technical.dna_conc	-0.15406705946355514	0.06191690343561639	1.9081318091152863e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t108	(Intercept)	5.383926249954112	0.08445155729526753	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
